# Temperature = 300.000K, fmax=0.030 eV/Å, fire_max_steps=50, neighbor_cutoff=6
# iter, energy_before [eV], energy_after [eV], acceptance, time_cost, 
1, -7540382.281192915, -7540382.135958919, 0, 13.753771781921387
2, -7540382.281192915, -7540382.490164936, 1, 69.13231635093689
3, -7540382.490164936, -7540382.976118312, 1, 69.41813707351685
8, -7540382.976118312, -7540382.226944754, 0, 13.77898359298706
9, -7540382.976118312, -7540382.95993614, 0, 13.735543012619019
10, -7540382.976118312, -7540382.813262534, 0, 13.737046003341675
12, -7540382.976118312, -7540383.358050668, 1, 25.26915431022644
14, -7540383.358050668, -7540383.812332364, 1, 40.99023413658142
18, -7540383.812332364, -7540383.719861125, 0, 13.772921800613403
19, -7540383.812332364, -7540384.044840218, 1, 13.798298120498657
20, -7540384.044840218, -7540384.108749899, 1, 42.057398319244385
22, -7540384.108749899, -7540383.744793333, 0, 13.743886709213257
24, -7540384.108749899, -7540383.655376495, 0, 13.759533405303955
25, -7540384.108749899, -7540385.033248088, 1, 41.241896867752075
31, -7540385.033248088, -7540385.19660065, 1, 13.81837010383606
34, -7540385.19660065, -7540385.251615544, 1, 42.37850546836853
35, -7540385.251615544, -7540384.535950977, 0, 13.740616083145142
37, -7540385.251615544, -7540384.817595464, 0, 13.753724336624146
44, -7540385.251615544, -7540384.778883136, 0, 13.75799560546875
45, -7540385.251615544, -7540384.86210667, 0, 13.768006801605225
47, -7540385.251615544, -7540385.134492639, 0, 13.768735408782959
52, -7540385.251615544, -7540385.2872955855, 1, 13.822465419769287
56, -7540385.2872955855, -7540385.335967771, 1, 13.766600370407104
59, -7540385.335967771, -7540385.000137668, 0, 13.729934692382812
64, -7540385.335967771, -7540384.805258508, 0, 13.728887557983398
66, -7540385.335967771, -7540384.62615491, 0, 13.774864196777344
68, -7540385.335967771, -7540384.884837851, 0, 13.776219844818115
71, -7540385.335967771, -7540384.88483757, 0, 13.750000715255737
73, -7540385.335967771, -7540385.029529545, 0, 13.737136363983154
75, -7540385.335967771, -7540385.384707317, 1, 13.780616760253906
76, -7540385.384707317, -7540384.835649649, 0, 13.76470160484314
80, -7540385.384707317, -7540384.494249959, 0, 13.750767946243286
88, -7540385.384707317, -7540384.478973575, 0, 13.760746479034424
90, -7540385.384707317, -7540384.77519167, 0, 13.775575637817383
91, -7540385.384707317, -7540384.90191644, 0, 13.755150318145752
94, -7540385.384707317, -7540384.891961808, 0, 13.740299940109253
98, -7540385.384707317, -7540384.524975181, 0, 13.749424934387207
99, -7540385.384707317, -7540384.697124663, 0, 13.736882448196411
